check_reps,uncompute,correct_target,avg_fidelity,fid_m1.0,fid_m3.0,fid_m8.0,fid_m12.0
1,False,0,0.6828307879251543,0.8883521102101749,0.7553231569244251,0.5759468390438673,0.5117010455221501
1,False,1,0.6828307879251542,0.8883521102101749,0.7553231569244245,0.5759468390438673,0.5117010455221501
1,True,0,0.5939143155713583,0.8161119679076925,0.6293498649383191,0.4815505650602008,0.44864486437922096
1,True,1,0.5939143155713582,0.8161119679076922,0.6293498649383191,0.4815505650602006,0.44864486437922096
3,True,1,0.46878668651065486,0.6304323501557131,0.4719231278526483,0.40338486077358454,0.3694064072606735
3,True,0,0.4687866865106548,0.6304323501557129,0.47192312785264795,0.40338486077358454,0.36940640726067386
2,False,0,0.4324735879491126,0.7251926697772528,0.4637641146272628,0.28143193641317366,0.259505630978761
2,False,1,0.4324735879491126,0.7251926697772528,0.4637641146272628,0.28143193641317366,0.259505630978761
3,False,0,0.3803813181028975,0.646337261191405,0.3691392875209449,0.25559031314356645,0.25045841055567375
3,False,1,0.38038131810289727,0.6463372611914044,0.3691392875209445,0.25559031314356645,0.25045841055567375
2,True,0,0.34732836847721843,0.5719793033938178,0.3161297900597491,0.25117075659436133,0.25003362386094546
2,True,1,0.34732836847721843,0.5719793033938178,0.3161297900597492,0.25117075659436133,0.25003362386094546
